kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test_mpipdom_st_rt.1.sm_80.ptx 167 : 8 344 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 88 : 16 64 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 168 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 89 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 169 : 8 56 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 90 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 170 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 91 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 171 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 92 : 16 688 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 172 : 8 32 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 93 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 94 : 16 112 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 95 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 96 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 97 : 16 64 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 98 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 99 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 100 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 101 : 16 688 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 102 : 16 144 0 0 0 0 0 0 0 
